| Time            |   T° | Well   |   Data | Row   |   Column | Read    |   Ex |   Em |   Seconds | Experiment        | Label              | DNA Template                |   [DNA Template] (ng/uL) | Blank   |   DataBlank |   DataBlanked |
|:----------------|-----:|:-------|-------:|:------|---------:|:--------|-----:|-----:|----------:|:------------------|:-------------------|:----------------------------|-------------------------:|:--------|------------:|--------------:|
| 0 days 00:00:00 | 37   | B1     |    289 | B     |        1 | 490,520 |  490 |  520 |         0 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         258 |            31 |
| 0 days 00:05:00 | 37.1 | B1     |    312 | B     |        1 | 490,520 |  490 |  520 |       300 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         247 |            65 |
| 0 days 00:10:00 | 37   | B1     |    449 | B     |        1 | 490,520 |  490 |  520 |       600 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         253 |           196 |
| 0 days 00:15:00 | 37   | B1     |    982 | B     |        1 | 490,520 |  490 |  520 |       900 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         246 |           736 |
| 0 days 00:20:00 | 37   | B1     |   1880 | B     |        1 | 490,520 |  490 |  520 |      1200 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         243 |          1637 |
| 0 days 00:25:00 | 37   | B1     |   3161 | B     |        1 | 490,520 |  490 |  520 |      1500 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         250 |          2911 |
| 0 days 00:30:00 | 37   | B1     |   4846 | B     |        1 | 490,520 |  490 |  520 |      1800 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         240 |          4606 |
| 0 days 00:35:00 | 36.9 | B1     |   6747 | B     |        1 | 490,520 |  490 |  520 |      2100 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         241 |          6506 |
| 0 days 00:40:00 | 37   | B1     |   8842 | B     |        1 | 490,520 |  490 |  520 |      2400 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         241 |          8601 |
| 0 days 00:45:00 | 37.1 | B1     |  10989 | B     |        1 | 490,520 |  490 |  520 |      2700 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         252 |         10737 |
| 0 days 00:50:00 | 37.1 | B1     |  13163 | B     |        1 | 490,520 |  490 |  520 |      3000 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         229 |         12934 |
| 0 days 00:55:00 | 37   | B1     |  15536 | B     |        1 | 490,520 |  490 |  520 |      3300 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         242 |         15294 |
| 0 days 01:00:00 | 37   | B1     |  17704 | B     |        1 | 490,520 |  490 |  520 |      3600 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         254 |         17450 |
| 0 days 01:05:00 | 37   | B1     |  20189 | B     |        1 | 490,520 |  490 |  520 |      3900 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         217 |         19972 |
| 0 days 01:10:00 | 37.1 | B1     |  22162 | B     |        1 | 490,520 |  490 |  520 |      4200 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         219 |         21943 |
| 0 days 01:15:00 | 37   | B1     |  24399 | B     |        1 | 490,520 |  490 |  520 |      4500 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         239 |         24160 |
| 0 days 01:20:00 | 37   | B1     |  26567 | B     |        1 | 490,520 |  490 |  520 |      4800 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         231 |         26336 |
| 0 days 01:25:00 | 37.1 | B1     |  28349 | B     |        1 | 490,520 |  490 |  520 |      5100 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         236 |         28113 |
| 0 days 01:30:00 | 37   | B1     |  30232 | B     |        1 | 490,520 |  490 |  520 |      5400 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         257 |         29975 |
| 0 days 01:35:00 | 37.1 | B1     |  32194 | B     |        1 | 490,520 |  490 |  520 |      5700 | DNA Concentration | GFP-100            | pT7-deGFP (AR-11)           |                    100   | nan     |         253 |         31941 |
